Наименование услуги, Главное изображение, Длительность, Стоимость, Действующая скидка
Занятие с русскоязычным репетитором итальянского языка,Итальянский язык.jpg, 4200 сек.,1620, 20%
Индивидуальный урок английского языка с русскоязычным преподавателем,Английский язык.jpg, 30 мин.,1910, 10%
Интенсивный курс с преподавателем-носителем португальского языка для компаний,for company.jpg, 30 мин.,1580, нет
Интенсивный курс испанского языка с русскоязычным преподавателем для компаний,for company.jpg, 5400 сек., 1000, 25%
Киноклуб немецкого языка для студентов,киноклуб.jpg, 50 мин.,1140, 15%
Занятие с репетитором-носителем французского языка,Французский язык.jpg, 50 мин.,2040, нет
Урок в группе немецкого языка для студентов,Немецкий язык.png, 4200 сек.,1240, нет
Занятие с русскоязычным репетитором китайского языка,Китайский язык.jpg, 6600 сек.,940, 15%
Занятие с репетитором-носителем японского языка,Японский язык.jpg, 3000 сек.,1100, 25%
Урок в группе французского языка для студентов,Французский язык.jpg, 1800 сек.,1910, нет
Интенсивный курс итальянского языка с русскоязычным преподавателем для компаний,for company.jpg, 110 мин., 900, нет
Занятие с русскоязычным репетитором английского языка,Английский язык.jpg, 90 мин., 1950, 15%
Интенсивный курс с преподавателем-носителем испанского языка для компаний,for company.jpg, 90 мин., 1660, нет
Интенсивный курс с преподавателем-носителем японского языка для компаний,for company.jpg, 4200 сек.,1380, 20%
